Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,438.175,-182.91875,0.0,bottom
C1,405.734138,-161.793749,270.0,bottom
C10,433.3875,-175.226741,270.0,bottom
C2,406.875357,-161.79375,270.0,bottom
C3,418.882095,-167.954036,90.0,bottom
C4,384.673749,-132.978125,180.0,bottom
C5,384.193749,-138.478125,0.0,bottom
C6,411.637858,-172.515625,180.0,bottom
C7,411.637858,-171.325,180.0,bottom
C8,415.939595,-158.018259,0.0,bottom
C9,415.939595,-158.974999,0.0,bottom
D1,381.79375,-130.428125,0.0,bottom
D10,287.3375,-104.315625,90.0,bottom
D100,518.4625,-190.51875,90.0,bottom
D101,111.125,-204.328125,90.0,bottom
D102,134.9375,-204.328125,90.0,bottom
D103,158.75,-204.328125,90.0,bottom
D104,239.7125,-204.328125,90.0,bottom
D105,320.675,-204.328125,90.0,bottom
D106,344.4875,-204.328125,90.0,bottom
D107,368.3,-204.328125,90.0,bottom
D108,396.875,-204.328125,90.0,bottom
D109,415.925,-204.328125,90.0,bottom
D11,315.9125,-104.315625,90.0,bottom
D110,434.975,-204.328125,90.0,bottom
D111,372.986677,-185.281089,90.0,bottom
D112,496.8875,-204.328125,90.0,bottom
D113,515.9375,-204.328125,90.0,bottom
D114,468.0875,-206.709375,90.0,bottom
D115,477.8375,-204.328125,90.0,bottom
D116,489.726759,-104.9883,0.0,bottom
D117,484.170509,-104.9883,0.0,bottom
D118,478.614259,-104.9883,0.0,bottom
D119,495.283009,-107.766425,0.0,bottom
D12,334.9625,-104.315625,90.0,bottom
D120,489.726759,-107.766425,0.0,bottom
D121,484.170509,-107.766425,0.0,bottom
D122,478.614259,-107.766425,0.0,bottom
D123,349.25,-166.228125,90.0,bottom
D13,354.0125,-104.315625,90.0,bottom
D14,373.0625,-104.315625,90.0,bottom
D15,396.875,-104.315625,90.0,bottom
D16,415.925,-104.315625,90.0,bottom
D17,434.975,-104.315625,90.0,bottom
D18,495.283009,-102.210175,0.0,bottom
D19,489.726759,-102.210175,0.0,bottom
D2,106.3625,-104.315625,90.0,bottom
D20,484.170509,-102.210175,0.0,bottom
D21,515.9375,-104.253125,90.0,bottom
D22,106.3625,-128.128125,90.0,bottom
D23,125.4125,-128.128125,90.0,bottom
D24,144.4625,-128.128125,90.0,bottom
D25,163.5125,-128.128125,90.0,bottom
D26,182.5625,-128.128125,90.0,bottom
D27,201.6125,-128.128125,90.0,bottom
D28,220.6625,-128.128125,90.0,bottom
D29,239.7125,-128.128125,90.0,bottom
D3,144.4625,-104.315625,90.0,bottom
D30,258.7625,-128.128125,90.0,bottom
D31,277.8125,-128.128125,90.0,bottom
D32,296.8625,-128.128125,90.0,bottom
D33,315.9125,-128.128125,90.0,bottom
D34,334.9625,-128.128125,90.0,bottom
D35,363.5375,-128.128125,90.0,bottom
D36,396.875,-128.128125,90.0,bottom
D37,415.925,-128.128125,90.0,bottom
D38,434.975,-128.128125,90.0,bottom
D39,458.7875,-128.128125,90.0,bottom
D4,163.5125,-104.315625,90.0,bottom
D40,477.8375,-128.128125,90.0,bottom
D41,496.8875,-128.128125,90.0,bottom
D42,515.9375,-128.128125,90.0,bottom
D43,111.125,-147.178125,90.0,bottom
D44,134.9375,-147.178125,90.0,bottom
D45,153.9875,-147.178125,90.0,bottom
D46,173.0375,-147.178125,90.0,bottom
D47,192.0875,-147.178125,90.0,bottom
D48,211.1375,-147.178125,90.0,bottom
D49,230.1875,-147.178125,90.0,bottom
D5,182.5625,-104.315625,90.0,bottom
D50,249.2375,-147.178125,90.0,bottom
D51,268.2875,-147.178125,90.0,bottom
D52,287.3375,-147.178125,90.0,bottom
D53,306.3875,-147.178125,90.0,bottom
D54,325.4375,-147.178125,90.0,bottom
D55,344.4875,-147.178125,90.0,bottom
D56,368.3,-147.178125,90.0,bottom
D57,396.875,-147.178125,90.0,bottom
D58,415.925,-147.178125,90.0,bottom
D59,434.975,-147.178125,90.0,bottom
D6,201.6125,-104.315625,90.0,bottom
D60,458.7875,-147.178125,90.0,bottom
D61,477.8375,-147.178125,90.0,bottom
D62,496.8875,-147.178125,90.0,bottom
D63,478.614259,-102.210175,0.0,bottom
D64,518.4625,-152.41875,90.0,bottom
D65,113.50625,-166.228125,90.0,bottom
D66,495.283009,-104.9883,0.0,bottom
D67,139.7,-166.228125,90.0,bottom
D68,158.75,-166.228125,90.0,bottom
D69,177.8,-166.228125,90.0,bottom
D7,230.1875,-104.315625,90.0,bottom
D70,196.85,-166.228125,90.0,bottom
D71,215.9,-166.228125,90.0,bottom
D72,234.95,-166.228125,90.0,bottom
D73,254.0,-166.228125,90.0,bottom
D74,273.05,-166.228125,90.0,bottom
D75,292.1,-166.228125,90.0,bottom
D76,311.15,-166.228125,90.0,bottom
D77,330.2,-166.228125,90.0,bottom
