Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,1uF,C52923
"C10, C3, C5, C6",0402,4,100n,
"C11, C8",0402,2,4.7u,
C12,0402,1,100nF,C52923
C4,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,1,10u,
C7,0402,1,10uF,C52923
C9,0402,1,10n,
D1,D_SOD-123,1,B5819W-SL,
"D10, D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D11, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D12, D120, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",D_SOD-123,119,1N4148W,C81598 
D121,D_SOD-123,1,1N4148,
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,SM04B-SRSS-TB,C160404
J9,PinHeader_1x4_P2.54mm_Vertical,1,Conn_01x04_Pin,
Q1,SOT-23,1,AO3401A,
"Q2, Q3, Q4, Q5, Q8, Q9",SOT-23,6,2N7002,
"R1, R2",0805,2,100k,
"R10, R14, R15, R17, R21, R24, R25, R5",0402,8,10k,
"R11, R12, R16, R26, R6, R9",0402,6,100,
"R13, R18, R19, R23, R4, R7, R8",0402,7,1k,
R20,0402,1,1M,
R22,0402,1,100k,
R3,0402,1,330k,
SW1,SW_SPST_TL3342,1,SW_SPST,
U1,SOT-23,1,XC6206P332MR,C5446
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,C81720
