Designator,Mid X,Mid Y,Rotation,Layer
C1,385.665625,-130.446875,180.0,bottom
C10,406.65,-161.578125,90.0,bottom
C11,405.65,-161.578125,270.0,bottom
C12,386.910188,-195.52127,0.0,bottom
C2,385.7375,-141.775,0.0,bottom
C3,419.07,-168.15,180.0,bottom
C4,412.941873,-151.003635,0.0,bottom
C5,417.03,-170.675,180.0,bottom
C6,416.55,-158.975,90.0,bottom
C7,377.522688,-198.061271,90.0,bottom
C8,411.489411,-172.314411,45.0,bottom
C9,411.889411,-171.314411,45.0,bottom
D1,387.55,-135.575,270.0,bottom
D10,152.003166,-104.515625,90.0,bottom
D100,378.222106,-185.481089,90.0,bottom
D101,404.415878,-185.217256,90.0,bottom
D102,463.947178,-185.478125,90.0,bottom
D103,466.32843,-185.478125,90.0,bottom
D104,485.378446,-185.478125,90.0,bottom
D105,507.269088,-187.128125,180.0,bottom
D106,118.665638,-204.528125,90.0,bottom
D107,121.04689,-204.528125,90.0,bottom
D108,147.240662,-204.528125,90.0,bottom
D109,244.871994,-204.528125,90.0,bottom
D11,187.721946,-104.515625,90.0,bottom
D110,306.784546,-204.465625,90.0,bottom
D111,309.165798,-204.465625,90.0,bottom
D112,352.028334,-204.528125,90.0,bottom
D113,354.409586,-204.528125,90.0,bottom
D114,402.034626,-204.528125,90.0,bottom
D115,404.415878,-204.528125,90.0,bottom
D116,423.465894,-204.528125,90.0,bottom
D117,485.378446,-204.528125,90.0,bottom
D118,501.25346,-201.290623,90.0,bottom
D119,447.278414,-204.528125,90.0,bottom
D12,190.103198,-104.515625,90.0,bottom
D120,482.986205,-204.528125,90.0,bottom
D121,372.922688,-198.97127,90.0,bottom
D13,235.346986,-104.515625,90.0,bottom
D14,237.728238,-104.515625,90.0,bottom
D15,273.447018,-104.515625,90.0,bottom
D16,275.82827,-104.515625,90.0,bottom
D17,321.072058,-104.515625,90.0,bottom
D18,323.45331,-104.515625,90.0,bottom
D19,359.17209,-104.515625,90.0,bottom
D2,206.834375,-201.4875,0.0,bottom
D20,361.553342,-104.515625,90.0,bottom
D21,402.034626,-104.515625,90.0,bottom
D22,404.415878,-104.515625,90.0,bottom
D23,440.134658,-104.515625,90.0,bottom
D24,482.997194,-104.495262,90.0,bottom
D25,485.378446,-104.513081,90.0,bottom
D26,504.428462,-104.503125,90.0,bottom
D27,111.521882,-128.328125,90.0,bottom
D28,113.903134,-128.328125,90.0,bottom
D29,149.621914,-128.328125,90.0,bottom
D3,201.278125,-201.4875,0.0,bottom
D30,152.003166,-128.328125,90.0,bottom
D31,187.721946,-128.328125,90.0,bottom
D32,190.103198,-128.328125,90.0,bottom
D33,225.821978,-128.328125,90.0,bottom
D34,228.20323,-128.328125,90.0,bottom
D35,263.92201,-128.328125,90.0,bottom
D36,266.303262,-128.328125,90.0,bottom
D37,302.022042,-128.328125,90.0,bottom
D38,304.403294,-128.328125,90.0,bottom
D39,340.122074,-128.328125,90.0,bottom
D4,195.721875,-201.4875,0.0,bottom
D40,342.503326,-128.328125,90.0,bottom
D41,402.034626,-128.328125,90.0,bottom
D42,404.415878,-128.328125,90.0,bottom
D43,440.134658,-128.328125,90.0,bottom
D44,463.947178,-128.328125,90.0,bottom
D45,466.32843,-128.328125,90.0,bottom
D46,502.04721,-128.328125,90.0,bottom
D47,504.428462,-128.328125,90.0,bottom
D48,121.04689,-147.378125,90.0,bottom
D49,123.428142,-147.378125,90.0,bottom
D5,195.721875,-198.709375,0.0,bottom
D50,159.146922,-147.378125,90.0,bottom
D51,161.528174,-147.378125,90.0,bottom
D52,197.246954,-147.378125,90.0,bottom
D53,199.628206,-147.378125,90.0,bottom
D54,235.346986,-147.378125,90.0,bottom
D55,237.728238,-147.378125,90.0,bottom
D56,273.447018,-147.378125,90.0,bottom
D57,275.82827,-147.378125,90.0,bottom
D58,311.54705,-147.378125,90.0,bottom
D59,313.928302,-147.378125,90.0,bottom
D6,201.278125,-198.709375,0.0,bottom
D60,349.647082,-147.378125,90.0,bottom
D61,352.028334,-147.378125,90.0,bottom
D62,402.034626,-147.378125,90.0,bottom
D63,404.415878,-147.378125,90.0,bottom
D64,440.134658,-147.378125,90.0,bottom
D65,463.947178,-147.378125,90.0,bottom
D66,466.32843,-147.378125,90.0,bottom
D67,485.378446,-147.378125,90.0,bottom
D68,510.778125,-150.290625,180.0,bottom
D69,118.665638,-166.428125,90.0,bottom
D7,206.834375,-198.709375,0.0,bottom
D70,144.85941,-166.428125,90.0,bottom
D71,147.240662,-166.428125,90.0,bottom
D72,182.959442,-166.428125,90.0,bottom
D73,185.340694,-166.428125,90.0,bottom
D74,221.059474,-166.428125,90.0,bottom
D75,223.440726,-166.428125,90.0,bottom
